"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304005,"Silves",4.5,4.5,4.6,4.5,4.4,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304062,"Tabatinga",3.6,3.6,4,4.4,4.6,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304104,"Tapauá",4.4,4.1,4.5,4.5,4.3,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304203,"Tefé",4.2,4.1,4.5,4.8,4.6,4.7
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304237,"Tonantins",3.1,3,3.5,3.5,3.7,4.1
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304260,"Uarini",3.9,3.3,3.5,3.6,3.8,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304302,"Urucará",4,4,4.6,4.5,5.3,5.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1304401,"Urucurituba",3.9,4.5,4.5,5.1,4.4,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400027,"Amajari",3.7,3.5,4.3,4,4.6,NA
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400050,"Alto Alegre",3.6,3.9,4.3,4.4,4.6,NA
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400100,"Boa Vista",4.5,4.9,5.2,5.5,5.8,5.9
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400159,"Bonfim",3.4,3.9,3.7,4,4.5,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400175,"Cantá",3.6,3.2,NA,NA,NA,NA
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400209,"Caracaraí",3.8,3.8,3.8,4.2,4.5,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400233,"Caroebe",3,3.8,4.3,4,4.5,NA
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400282,"Iracema",3.9,3.9,4,4.5,4.4,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400308,"Mucajaí",4,5,4.5,4.4,4.3,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400407,"Normandia",3.6,3.6,3.6,3.8,4.3,3.9
"Educação","TX_INEP_IDEB_AI_MUN","Roraima",1400456,"Pacaraima",3.4,4,4.4,4.9,5,NA
