AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503200,Igarapé-Açu,76.1,74.6,79.9,88.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503309,Igarapé-Miri,87,87.7,84.6,85.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503408,Inhangapi,111.8,88.1,86.6,85.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503457,Ipixuna do Pará,47.2,54.1,57.5,57.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503507,Irituia,76.1,75,68.9,63
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503606,Itaituba,91.1,103,114.4,141.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503705,Itupiranga,68.7,64.8,63.4,64
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503754,Jacareacanga,36.9,44.4,41.2,44.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503804,Jacundá,70.2,66.8,66.1,68.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503903,Juruti,91.3,81.2,78.8,79.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504000,Limoeiro do Ajuru,79.8,75.6,81.5,78.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504059,Mãe do Rio,91,89.9,92.6,94.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504109,Magalhães Barata,92.6,86.2,77.2,75.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504208,Marabá,84,80.3,80.6,81
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504307,Maracanã,90,92.7,84.5,87.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504406,Marapanim,74.5,77.1,80.9,88.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504422,Marituba,71.9,72.4,78.4,83.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504455,Medicilândia,62.3,61.5,64.7,43.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504505,Melgaço,62,76.1,81.2,79.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504604,Mocajuba,79.3,80,80.6,88.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504703,Moju,80.5,76.4,82.2,86.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504752,Mojuí dos Campos,Inf,Inf,Inf,Inf
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504802,Monte Alegre,89.9,95.6,102.1,111.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504901,Muaná,47.9,48.9,45.7,49.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504950,Nova Esperança do Piriá,71.9,85.4,86.4,88.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1504976,Nova Ipixuna,57.7,53.4,58.9,65.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1505007,Nova Timboteua,65.9,63.7,59,59
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1505031,Novo Progresso,105,89.7,93,93.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1505064,Novo Repartimento,63.3,65.2,66.5,66
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1505106,Óbidos,78.5,71.6,61.8,61.6
