"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"76","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300060,"Amaturá",7903.86,7811.8,7679.44,7865.24,8529.86,8504.4,8329.71,8186.49,7596.15,6950.86,7186.35
"77","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300086,"Anamã",10877.67,10713.49,10460.02,9755.25,10476.85,10352.82,9997,9732.39,8949.57,8120.8,8330.17
"78","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300102,"Anori",11434.44,11269.45,11017.96,10893.21,11744.46,11646.38,11307.74,11048.84,10195.25,9281.31,9549.02
"79","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300144,"Apuí",9093.04,8950.65,8729.48,9901.98,10736.8,10704.34,10481.5,10300.19,9555.74,8743.02,9037.65
"80","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300201,"Atalaia do Norte",8461.46,8301.98,8048.89,8584.79,9234.57,9138.09,8842.93,8621.15,7938.49,7212.69,7407.47
"81","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300300,"Autazes",8993.27,8861.61,8660.04,9404.72,10188.67,10148.52,9923.73,9742.8,9030.55,8255.48,8527.28
"82","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300409,"Barcelos",5357.79,5328.3,5299.49,5750.88,6317.45,6375.98,6369.15,6346.25,5965.91,5528.33,5784.23
"83","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300508,"Barreirinha",7373.71,7278.92,7137.4,8070.47,8788.01,8795.57,8667.18,8554.18,7968.39,7319.2,7594.07
"84","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300607,"Benjamin Constant",7837.58,7714.31,7523.01,7714.7,8318.37,8249.75,8010.81,7828.06,7223.81,6576.62,6766.77
"85","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300631,"Beruri",8399.2,8269.94,8069.31,8415.79,9086.3,9022.47,8778.58,8589.97,7936.59,7233.85,7450.94
"86","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300680,"Boa Vista do Ramos",7840.68,7719.2,7530.83,7727.41,8334.81,8268.6,8033.97,7853.38,7249.5,6602.02,6794.73
"87","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300706,"Boca do Acre",10029.44,9932.7,9799.63,10970.17,11998.45,12059.16,11963.56,11863.42,11100.66,10240.39,10668.31
"88","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300805,"Borba",7805.79,7735.95,7642.24,7801.88,8491.23,8494.5,8363.83,8250.6,7681.71,7052.32,7313.79
"89","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300839,"Caapiranga",11068.47,10918.56,10692.14,11952.14,12991.71,12981.82,12757.44,12568.13,11687.12,10717.18,11101.72
"90","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300904,"Canutama",7366.66,7307.19,7230.61,7449.06,7564,7589.07,7508.14,7430.44,6939.73,6390.41,6646.29
"91","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301001,"Carauari",9325.89,9248.68,9148.56,10209.13,11187.39,11264.46,11209.34,11138.65,10443.76,9652.78,10074.99
"92","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301100,"Careiro",7190.75,7113.35,7003.14,7669.2,8361.43,8378.44,8271.89,8174.73,7624.46,7011.68,7283.11
"93","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301159,"Careiro da Várzea",11158.95,10957.5,10639.45,12063.58,13033.51,12949.52,12612.15,12348.92,11416.54,10411.96,10730.32
"94","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301209,"Coari",16608.2,16556.39,16542.52,16022.74,17524.27,17612.54,17472.93,17326.44,16212.25,14955.35,15580.34
"95","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301308,"Codajás",23753.35,23761.98,23904.33,18431.32,19962.49,19879.88,19432.58,19073.84,17675.58,16154.91,16683
"96","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301407,"Eirunepé",12096.04,11965.14,11778.28,13035.98,14220.8,14257.2,14087.82,13931.07,13000.72,11962.36,12431.93
"97","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301506,"Envira",7418.94,7288.83,7083.28,8387.37,9090.36,9057.88,8862.63,8704.95,8071.78,7381.98,7627.74
"98","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301605,"Fonte Boa",6957.69,7110.37,7467.56,6758.96,7395.74,7436.47,8236.59,8474.99,8227.47,7873.48,8507.14
"99","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301654,"Guajará",6736.49,6630.56,6465.89,7638.84,8301.86,8294.41,8149.89,8027.66,7463.73,6843.61,7088.44
"100","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301704,"Humaitá",11810.54,11660.65,11437.45,11570.23,12519.41,12456.19,12157.94,11921.88,11037.58,10079.47,10400.5
"101","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1301803,"Ipixuna",6678.49,6586.7,6447.75,5792.31,6220.56,6146.26,5933.56,5775.61,5310.46,4818.52,4942.15
