"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"73","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200708,"Xapuri",173951818.3,184650814.2,189355869.65,203109912.85,211806457.71,224899108.17,230027794.97,240162544.01,236558412.65,230843116.92,231297000
"74","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200807,"Porto Acre",172918472.43,183553911.87,188231017.34,201903355.83,210548239.61,223563114.29,228661334.58,238735879.01,235153157.68,229471813.17,229923000
"75","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300029,"Alvarães",130493674.41,133742549.36,133502963.56,146630146.25,161808899.58,164022102.99,171183763.83,171593822.82,162256503.55,151210327.35,159093000
"76","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300060,"Amaturá",66265979.41,67915790.26,67794126.22,74460239.51,82168160.68,83292047.29,86928809.54,87137041.55,82395458.41,76786100.81,80789000
"77","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300086,"Anamã",88674804.34,90882523.23,90719716.69,99640075.18,109954544.35,111458489.89,116325077.3,116603726.07,110258706.18,102752461.01,108109000
"78","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300102,"Anori",158183993.62,162122268.92,161831843.82,177744570.56,196144204.34,198827042.09,207508383.28,208005455.41,196686788.37,183296650.7,192852000
"79","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300144,"Apuí",158682696.6,162633388.02,162342047.3,178304941.72,196762583.59,199453879.46,208162590.12,208661229.36,197306878.22,183874525.78,193460000
"80","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300201,"Atalaia do Norte",115769632.81,118651926.25,118439373.72,130085372.09,143551455.46,145514935.67,151868522.15,152232312.8,143948554.77,134148755.9,141142000
"81","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300300,"Autazes",268961675.17,275657960.29,275164147.86,302220701.07,333505764.82,338067418.11,352828381.06,353673557.3,334428325.36,311660953.16,327908000
"82","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300409,"Barcelos",131624778.71,134901814.54,134660152.04,147901119.65,163211440.68,165443827.9,172667565.19,173081178.53,163662924.44,152521001.24,160472000
"83","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300508,"Barreirinha",196472571.5,201364109.88,201003387.13,220767803.68,243621085.36,246953306.4,257735974.03,258353362.92,244295002.35,227663769.81,239532000
"84","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300607,"Benjamin Constant",229390249.47,235101332.71,234680173.24,257755986.87,284438184.53,288328697.13,300917929.3,301638757.61,285225011.84,265807326.46,279664000
"85","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300631,"Beruri",115984534.43,118872178.22,118659231.14,130326847.82,143817928.1,145785053.09,152150433.65,152514899.6,144215764.54,134397774.44,141404000
"86","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300680,"Boa Vista do Ramos",103010874.69,105575515.87,105386388.37,115748902.7,127730913.81,129478002.48,135131371.89,135455069.84,128084249.54,119364468.46,125587000
"87","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300706,"Boca do Acre",299057744.14,306503325.08,305954256.41,336038363.23,370824139.25,375896228.95,392308902.91,393248652.04,371849931.76,346534953.47,364600000
"88","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300805,"Borba",242744498.32,248788059.63,248342381.82,272761583.67,300997119.83,305114123.63,318436254.17,319199046.43,301829753.31,281281642.36,295945000
"89","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300839,"Caapiranga",116739150.79,119645582.12,119431249.56,131174777.86,144753633.55,146733557.02,153140351.89,153507189.12,145154058.39,135272190.67,142324000
"90","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1300904,"Canutama",84444031.31,86546417.5,86391378.64,94886136.95,104708491.39,106140682.02,110775079.17,111040433.29,104998141.32,97850027.41,102951000
"91","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301001,"Carauari",234173040.77,240003200.21,239573259.55,263130204.36,290368726.37,294340356.23,307192074.15,307927931.75,291171959.05,271349414.54,285495000
"92","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301100,"Careiro",223416476.7,228978832.12,228568640.47,251043514.58,277030855.38,280820051.39,293081435.23,293783491.75,277797192.17,258885181.46,272381000
"93","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301159,"Careiro da Várzea",256912420.47,263308717.71,262837027.66,288681470.25,318564989.71,322922284.8,337021969.15,337829282.21,319446220.32,297698807.06,313218000
"94","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301209,"Coari",1083219794.63,1110188501.58,1108199714.9,1217167633.81,1343165511.78,1361537174.35,1420985671.07,1424389545,1346881044.26,1255187429.47,1320621000
"95","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301308,"Codajás",380647357.05,390124258.3,389425391.46,427717112.62,471993223.05,478449091.78,499339508.73,500535642.35,473298874.61,441077406.45,464071000
"96","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301407,"Eirunepé",355756500.48,364613699.05,363960531.71,399748324.44,441129182.1,447162896.05,466687270.75,467805188.17,442349455.99,412234977.22,433725000
"97","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301506,"Envira",121952565.55,124988794.22,124764889.86,137032868.47,151218137.75,153286481.95,159979395.73,160362615.43,151636445.02,141313266.27,148680000
"98","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301605,"Fonte Boa",137247490.82,140664514.2,140412528.42,154219120.14,170183463.38,172511213.11,180043532.08,180474814.04,170654233.5,159036352.6,167327000
"99","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301654,"Guajará",94997997.29,97363143.46,97188727.56,106745175.95,117795145.8,119406334.19,124619946.56,124918465.12,118120996.7,110079498.74,115818000
"100","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301704,"Humaitá",455402770.5,466740842.35,465904724.9,511716565.14,564688070.08,572411808.21,597404898.48,598835941.03,566250138.82,527700689.84,555210000
"101","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301803,"Ipixuna",114716450.85,117572523.42,117361904.53,128901956.68,142245536.11,144191154.11,150486940.6,150847421.77,142639022.92,132928374.99,139858000
"102","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301852,"Iranduba",577748228.69,592132310.99,591071567.83,649190910.23,716393384.91,726192130.79,757899697.3,759715194.16,718375108.58,669469222.82,704369000
"103","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301902,"Itacoatiara",1623093664.2,1663503503.09,1660523510.4,1823800750.78,2012595636.6,2040123687.01,2129201156.65,2134301512.31,2018162980.6,1880769511.64,1978815000
"104","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1301951,"Itamarati",76915092.66,78830032.36,78688816.6,86426191.43,95372795.35,96677293.42,100898492.71,101140188.15,95636620.41,89125824.62,93772000
"105","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302009,"Itapiranga",88237618.99,90434453.37,90272449.5,99148828.75,109412445.43,110908976.21,115751570.32,116028845.29,109715107.68,102245869.87,107576000
"106","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302108,"Japurá",50825052.27,52090433.45,51997118.88,57109931.81,63021796.39,63883801.24,66673145.53,66832856.49,63196130.48,58893833.95,61964000
"107","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302207,"Juruá",81799593.12,83836141.25,83685957.57,91914695.14,101429454.02,102816794.36,107306061.33,107563105.66,101710033.31,94785768.8,99727000
"108","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302306,"Jutaí",179040113.37,183497639.32,183168922.48,201179697.99,222005272.33,225041834.77,234867786.67,235430396.38,222619394.56,207463804.46,218279000
"109","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302405,"Lábrea",405977039.43,416084568.72,415339196.7,456178990.56,503401397.06,510286863.16,532567405.69,533843134.46,504793931.51,470428327.73,494952000
"110","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302504,"Manacapuru",1250993977.89,1282139725.18,1279842905.85,1405688289.23,1551201311.94,1572418464.13,1641074623.99,1645005705.95,1555492323.59,1449596769.9,1525165000
"111","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302553,"Manaquiri",193511522.53,198329340.26,197974053.98,217440599.92,239949458.53,243231459.48,253851620.93,254459705.12,240613218.87,224232636.57,235922000
"112","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302603,"Manaus",60042568884.59,61537436733.72,61427198846.76,67467259977.25,74451286954.23,75469623048.72,78764836519.68,78953512295.4,74657237875.51,69574686568.92,73201651000
"113","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302702,"Manicoré",406789072.25,416916818.56,416169955.65,457091437.02,504408297.49,511307535.86,533632643.79,534910924.27,505803617.28,471369275.62,495942000
"114","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302801,"Maraã",126548343.22,129698992.06,129466649.87,142196946.77,156916787.37,159063077.04,166008213.02,166405874.34,157350858.54,146638651.2,154283000
"115","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1302900,"Maués",376408381.67,385779746,385088661.9,422953957.76,466736999.38,473120974.09,493778750.61,494961563.82,468028110.91,436165468.32,458903000
"116","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1303007,"Nhamundá",116544755.05,119446346.55,119232370.9,130956343.71,144512587.69,146489214.16,152885340.34,153251566.71,144912345.73,135046933.44,142087000
"117","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1303106,"Nova Olinda do Norte",192059706.27,196841378.43,196488757.67,215809256.24,238149242.6,241406620.41,251947104.32,252550626.36,238808023.1,222550335.78,234152000
"118","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Amazonas",1303205,"Novo Airão",107885532.33,110571536.88,110373459.53,121226346.45,133775367.62,135605131.63,141526028.52,141865044.44,134145423.82,125013007.21,131530000
